Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;01030 Lagrán;Mujeres;2021;72
Total Nacional;01031 Laguardia;Total;2025;1.468
Total Nacional;01031 Laguardia;Total;2024;1.491
Total Nacional;01031 Laguardia;Total;2023;1.486
Total Nacional;01031 Laguardia;Total;2022;1.498
Total Nacional;01031 Laguardia;Total;2021;1.469
Total Nacional;01031 Laguardia;Hombres;2025;764
Total Nacional;01031 Laguardia;Hombres;2024;794
Total Nacional;01031 Laguardia;Hombres;2023;783
Total Nacional;01031 Laguardia;Hombres;2022;782
Total Nacional;01031 Laguardia;Hombres;2021;758
Total Nacional;01031 Laguardia;Mujeres;2025;704
Total Nacional;01031 Laguardia;Mujeres;2024;697
Total Nacional;01031 Laguardia;Mujeres;2023;703
Total Nacional;01031 Laguardia;Mujeres;2022;716
Total Nacional;01031 Laguardia;Mujeres;2021;711
Total Nacional;01032 Lanciego/Lantziego;Total;2025;706
Total Nacional;01032 Lanciego/Lantziego;Total;2024;689
Total Nacional;01032 Lanciego/Lantziego;Total;2023;708
Total Nacional;01032 Lanciego/Lantziego;Total;2022;725
Total Nacional;01032 Lanciego/Lantziego;Total;2021;693
Total Nacional;01032 Lanciego/Lantziego;Hombres;2025;367
Total Nacional;01032 Lanciego/Lantziego;Hombres;2024;356
Total Nacional;01032 Lanciego/Lantziego;Hombres;2023;363
Total Nacional;01032 Lanciego/Lantziego;Hombres;2022;379
Total Nacional;01032 Lanciego/Lantziego;Hombres;2021;368
Total Nacional;01032 Lanciego/Lantziego;Mujeres;2025;339
Total Nacional;01032 Lanciego/Lantziego;Mujeres;2024;333
Total Nacional;01032 Lanciego/Lantziego;Mujeres;2023;345
Total Nacional;01032 Lanciego/Lantziego;Mujeres;2022;346
Total Nacional;01032 Lanciego/Lantziego;Mujeres;2021;325
Total Nacional;01033 Lapuebla de Labarca;Total;2025;895
Total Nacional;01033 Lapuebla de Labarca;Total;2024;856
Total Nacional;01033 Lapuebla de Labarca;Total;2023;869
Total Nacional;01033 Lapuebla de Labarca;Total;2022;867
Total Nacional;01033 Lapuebla de Labarca;Total;2021;863
Total Nacional;01033 Lapuebla de Labarca;Hombres;2025;456
Total Nacional;01033 Lapuebla de Labarca;Hombres;2024;435
Total Nacional;01033 Lapuebla de Labarca;Hombres;2023;445
Total Nacional;01033 Lapuebla de Labarca;Hombres;2022;445
Total Nacional;01033 Lapuebla de Labarca;Hombres;2021;439
Total Nacional;01033 Lapuebla de Labarca;Mujeres;2025;439
Total Nacional;01033 Lapuebla de Labarca;Mujeres;2024;421
Total Nacional;01033 Lapuebla de Labarca;Mujeres;2023;424
Total Nacional;01033 Lapuebla de Labarca;Mujeres;2022;422
Total Nacional;01033 Lapuebla de Labarca;Mujeres;2021;424
Total Nacional;01034 Leza;Total;2025;204
Total Nacional;01034 Leza;Total;2024;210
Total Nacional;01034 Leza;Total;2023;220
Total Nacional;01034 Leza;Total;2022;217
Total Nacional;01034 Leza;Total;2021;219
Total Nacional;01034 Leza;Hombres;2025;108
Total Nacional;01034 Leza;Hombres;2024;107
Total Nacional;01034 Leza;Hombres;2023;112
Total Nacional;01034 Leza;Hombres;2022;112
Total Nacional;01034 Leza;Hombres;2021;112
Total Nacional;01034 Leza;Mujeres;2025;96
Total Nacional;01034 Leza;Mujeres;2024;103
Total Nacional;01034 Leza;Mujeres;2023;108
Total Nacional;01034 Leza;Mujeres;2022;105
Total Nacional;01034 Leza;Mujeres;2021;107
Total Nacional;01036 Laudio/Llodio;Total;2025;18.063
Total Nacional;01036 Laudio/Llodio;Total;2024;17.970
Total Nacional;01036 Laudio/Llodio;Total;2023;17.910
Total Nacional;01036 Laudio/Llodio;Total;2022;17.901
Total Nacional;01036 Laudio/Llodio;Total;2021;18.005
Total Nacional;01036 Laudio/Llodio;Hombres;2025;8.769
Total Nacional;01036 Laudio/Llodio;Hombres;2024;8.705
Total Nacional;01036 Laudio/Llodio;Hombres;2023;8.672
Total Nacional;01036 Laudio/Llodio;Hombres;2022;8.675
Total Nacional;01036 Laudio/Llodio;Hombres;2021;8.756
Total Nacional;01036 Laudio/Llodio;Mujeres;2025;9.294
Total Nacional;01036 Laudio/Llodio;Mujeres;2024;9.265
Total Nacional;01036 Laudio/Llodio;Mujeres;2023;9.238
Total Nacional;01036 Laudio/Llodio;Mujeres;2022;9.226
Total Nacional;01036 Laudio/Llodio;Mujeres;2021;9.249
Total Nacional;01037 Arraia-Maeztu;Total;2025;818
Total Nacional;01037 Arraia-Maeztu;Total;2024;823
Total Nacional;01037 Arraia-Maeztu;Total;2023;812
Total Nacional;01037 Arraia-Maeztu;Total;2022;805
Total Nacional;01037 Arraia-Maeztu;Total;2021;799
Total Nacional;01037 Arraia-Maeztu;Hombres;2025;450
Total Nacional;01037 Arraia-Maeztu;Hombres;2024;451
Total Nacional;01037 Arraia-Maeztu;Hombres;2023;446
Total Nacional;01037 Arraia-Maeztu;Hombres;2022;443
Total Nacional;01037 Arraia-Maeztu;Hombres;2021;444
Total Nacional;01037 Arraia-Maeztu;Mujeres;2025;368
Total Nacional;01037 Arraia-Maeztu;Mujeres;2024;372
Total Nacional;01037 Arraia-Maeztu;Mujeres;2023;366
Total Nacional;01037 Arraia-Maeztu;Mujeres;2022;362
Total Nacional;01037 Arraia-Maeztu;Mujeres;2021;355
Total Nacional;01039 Moreda de Álava/Moreda Araba;Total;2025;218
